step,velocity_steps_per_s,time_s
1131,1000.0,4.084688
1132,1000.0,4.085688
1133,1000.0,4.086688
1134,1000.0,4.087688
1135,1000.0,4.088688
1136,1000.0,4.089688
1137,1000.0,4.090688
1138,1000.0,4.091688
1139,1000.0,4.092688
1140,1000.0,4.093688
1141,1000.0,4.094688
1142,1000.0,4.095688
1143,1000.0,4.096688
1144,1000.0,4.097688
1145,1000.0,4.098688
1146,1000.0,4.099688
1147,1000.0,4.100688
1148,1000.0,4.101688
1149,1000.0,4.102688
1150,1000.0,4.103688
1151,1000.0,4.104688
1152,1000.0,4.105688
1153,1000.0,4.106688
1154,1000.0,4.107688
1155,1000.0,4.108688
1156,1000.0,4.109688
1157,1000.0,4.110688
1158,1000.0,4.111688
1159,1000.0,4.112688
1160,1000.0,4.113688
1161,1000.0,4.114688
1162,1000.0,4.115688
1163,1000.0,4.116688
1164,1000.0,4.117688
1165,1000.0,4.118688
1166,1000.0,4.119688
1167,1000.0,4.120688
1168,1000.0,4.121688
1169,1000.0,4.122688
1170,1000.0,4.123688
1171,1000.0,4.124688
1172,1000.0,4.125688
1173,1000.0,4.126688
1174,1000.0,4.127688
1175,1000.0,4.128688
1176,1000.0,4.129688
1177,1000.0,4.130688
1178,1000.0,4.131688
1179,1000.0,4.132688
1180,1000.0,4.133688
1181,1000.0,4.134688
1182,1000.0,4.135688
1183,1000.0,4.136688
1184,1000.0,4.137688
1185,1000.0,4.138688
